# Converted from C_Li_X_101.txt and C_Li_J2_101.txt; value scale = 0.001
# stoichiometry    value [A/cm^2]
-0.000000000e+00  4.200000000e-04
1.000000000e-02  1.007544000e-03
2.000000000e-02  1.139422000e-03
3.000000000e-02  1.270153000e-03
4.000000000e-02  1.463597000e-03
5.000000000e-02  1.618983000e-03
6.000000000e-02  1.750671000e-03
7.000000000e-02  1.843574000e-03
8.000000000e-02  1.932375000e-03
9.000000000e-02  2.030767000e-03
1.000000000e-01  2.090503000e-03
1.100000000e-01  2.163065000e-03
1.200000000e-01  2.225561000e-03
1.300000000e-01  2.288156000e-03
1.400000000e-01  2.347281000e-03
1.500000000e-01  2.374223000e-03
1.600000000e-01  2.428161000e-03
1.700000000e-01  2.466010000e-03
1.800000000e-01  2.511293000e-03
1.900000000e-01  2.548929000e-03
2.000000000e-01  2.575220000e-03
2.100000000e-01  2.594035000e-03
2.200000000e-01  2.604797000e-03
2.300000000e-01  2.612951000e-03
2.400000000e-01  2.624706000e-03
2.500000000e-01  2.635639000e-03
2.600000000e-01  2.641810000e-03
2.700000000e-01  2.646262000e-03
2.800000000e-01  2.651823000e-03
2.900000000e-01  2.658021000e-03
3.000000000e-01  2.663760000e-03
3.100000000e-01  2.668031000e-03
3.200000000e-01  2.671704000e-03
3.300000000e-01  2.674206000e-03
3.400000000e-01  2.674564000e-03
3.500000000e-01  2.674588000e-03
3.600000000e-01  2.674617000e-03
3.700000000e-01  2.674648000e-03
3.800000000e-01  2.674678000e-03
3.900000000e-01  2.674701000e-03
4.000000000e-01  2.674726000e-03
4.100000000e-01  2.674908000e-03
4.200000000e-01  2.677771000e-03
4.300000000e-01  2.681310000e-03
4.400000000e-01  2.681749000e-03
4.500000000e-01  2.680341000e-03
4.600000000e-01  2.680364000e-03
4.700000000e-01  2.680402000e-03
4.800000000e-01  2.679869000e-03
4.900000000e-01  2.678255000e-03
5.000000000e-01  2.676044000e-03
5.100000000e-01  2.673226000e-03
5.200000000e-01  2.669871000e-03
5.300000000e-01  2.665561000e-03
5.400000000e-01  2.663093000e-03
5.500000000e-01  2.661384000e-03
5.600000000e-01  2.660699000e-03
5.700000000e-01  2.661872000e-03
5.800000000e-01  2.662581000e-03
5.900000000e-01  2.662603000e-03
6.000000000e-01  2.662640000e-03
6.100000000e-01  2.666595000e-03
6.200000000e-01  2.672462000e-03
6.300000000e-01  2.673489000e-03
6.400000000e-01  2.672692000e-03
6.500000000e-01  2.671467000e-03
6.600000000e-01  2.670204000e-03
6.700000000e-01  2.669106000e-03
6.800000000e-01  2.667908000e-03
6.900000000e-01  2.666371000e-03
7.000000000e-01  2.664065000e-03
7.100000000e-01  2.661076000e-03
7.200000000e-01  2.657807000e-03
7.300000000e-01  2.654640000e-03
7.400000000e-01  2.651543000e-03
7.500000000e-01  2.648280000e-03
7.600000000e-01  2.644647000e-03
7.700000000e-01  2.640337000e-03
7.800000000e-01  2.635027000e-03
7.900000000e-01  2.629050000e-03
8.000000000e-01  2.622193000e-03
8.100000000e-01  2.613964000e-03
8.200000000e-01  2.602917000e-03
8.300000000e-01  2.590809000e-03
8.400000000e-01  2.579529000e-03
8.500000000e-01  2.567988000e-03
8.600000000e-01  2.555861000e-03
8.700000000e-01  2.545227000e-03
8.800000000e-01  2.531850000e-03
8.900000000e-01  2.509516000e-03
9.000000000e-01  2.442066000e-03
9.100000000e-01  2.388403000e-03
9.200000000e-01  2.330114000e-03
9.300000000e-01  2.260165000e-03
9.400000000e-01  2.171600000e-03
9.500000000e-01  2.102741000e-03
9.600000000e-01  1.899107000e-03
9.700000000e-01  1.552780000e-03
9.800000000e-01  1.245141000e-03
9.900000000e-01  1.007373000e-03
1.000000000e+00  4.100000000e-04
