# Converted from C_Li_X_101.txt and C_Li_O3_101.txt; value scale = 1
# stoichiometry    value [V]
-0.000000000e+00  6.940445000e-01
1.000000000e-02  4.910000000e-01
2.000000000e-02  3.750000000e-01
3.000000000e-02  3.059434000e-01
4.000000000e-02  2.464000000e-01
5.000000000e-02  2.225800000e-01
6.000000000e-02  2.178481000e-01
7.000000000e-02  2.154000000e-01
8.000000000e-02  2.144205000e-01
9.000000000e-02  2.142697000e-01
1.000000000e-01  2.137651000e-01
1.100000000e-01  2.120765000e-01
1.200000000e-01  2.078820000e-01
1.300000000e-01  1.954000000e-01
1.400000000e-01  1.861000000e-01
1.500000000e-01  1.788000000e-01
1.600000000e-01  1.730000000e-01
1.700000000e-01  1.678000000e-01
1.800000000e-01  1.631000000e-01
1.900000000e-01  1.585000000e-01
2.000000000e-01  1.540000000e-01
2.100000000e-01  1.493000000e-01
2.200000000e-01  1.447000000e-01
2.300000000e-01  1.428000000e-01
2.400000000e-01  1.408068000e-01
2.500000000e-01  1.390403000e-01
2.600000000e-01  1.379601000e-01
2.700000000e-01  1.374408000e-01
2.800000000e-01  1.373499000e-01
2.900000000e-01  1.369875000e-01
3.000000000e-01  1.366252000e-01
3.100000000e-01  1.362628000e-01
3.200000000e-01  1.359005000e-01
3.300000000e-01  1.355381000e-01
3.400000000e-01  1.351757000e-01
3.500000000e-01  1.348134000e-01
3.600000000e-01  1.344510000e-01
3.700000000e-01  1.340887000e-01
3.800000000e-01  1.337263000e-01
3.900000000e-01  1.333639000e-01
4.000000000e-01  1.330016000e-01
4.100000000e-01  1.326392000e-01
4.200000000e-01  1.322769000e-01
4.300000000e-01  1.319145000e-01
4.400000000e-01  1.315521000e-01
4.500000000e-01  1.311898000e-01
4.600000000e-01  1.308274000e-01
4.700000000e-01  1.304651000e-01
4.800000000e-01  1.301027000e-01
4.900000000e-01  1.297404000e-01
5.000000000e-01  1.286293000e-01
5.100000000e-01  1.266936000e-01
5.200000000e-01  1.228878000e-01
5.300000000e-01  1.173256000e-01
5.400000000e-01  1.108672000e-01
5.500000000e-01  1.047073000e-01
5.600000000e-01  9.896249000e-02
5.700000000e-01  9.725909000e-02
5.800000000e-01  9.632082000e-02
5.900000000e-01  9.612889000e-02
6.000000000e-01  9.593696000e-02
6.100000000e-01  9.574504000e-02
6.200000000e-01  9.555311000e-02
6.300000000e-01  9.536118000e-02
6.400000000e-01  9.516925000e-02
6.500000000e-01  9.497732000e-02
6.600000000e-01  9.478539000e-02
6.700000000e-01  9.459346000e-02
6.800000000e-01  9.440154000e-02
6.900000000e-01  9.420961000e-02
7.000000000e-01  9.401768000e-02
7.100000000e-01  9.382575000e-02
7.200000000e-01  9.363382000e-02
7.300000000e-01  9.344189000e-02
7.400000000e-01  9.324997000e-02
7.500000000e-01  9.305804000e-02
7.600000000e-01  9.286611000e-02
7.700000000e-01  9.267418000e-02
7.800000000e-01  9.248225000e-02
7.900000000e-01  9.229032000e-02
8.000000000e-01  9.209839000e-02
8.100000000e-01  9.190647000e-02
8.200000000e-01  9.171454000e-02
8.300000000e-01  9.152261000e-02
8.400000000e-01  9.133068000e-02
8.500000000e-01  9.113875000e-02
8.600000000e-01  9.094682000e-02
8.700000000e-01  9.075490000e-02
8.800000000e-01  9.056297000e-02
8.900000000e-01  9.037104000e-02
9.000000000e-01  9.017911000e-02
9.100000000e-01  8.998718000e-02
9.200000000e-01  8.979525000e-02
9.300000000e-01  8.960333000e-02
9.400000000e-01  8.941140000e-02
9.500000000e-01  8.921947000e-02
9.600000000e-01  8.800000000e-02
9.700000000e-01  8.538721000e-02
9.800000000e-01  7.284000000e-02
9.900000000e-01  4.450000000e-02
1.000000000e+00  -3.000000000e-02
